Frame,Time,Emotion,Score
0,21:32:37,Neutral,20
1,21:32:38,Neutral,20
2,21:32:38,Neutral,20
3,21:32:38,Neutral,20
4,21:32:38,Neutral,20
5,21:32:38,Neutral,20
6,21:32:38,Neutral,20
7,21:32:38,Neutral,20
8,21:32:38,Neutral,20
9,21:32:38,Neutral,20
10,21:32:38,Neutral,20
11,21:32:38,Neutral,20
12,21:32:38,Neutral,20
13,21:32:38,Angry,50
14,21:32:38,Angry,50
15,21:32:39,Angry,50
16,21:32:39,Angry,50
17,21:32:39,Angry,50
18,21:32:39,Angry,50
19,21:32:39,Angry,50
20,21:32:39,Angry,50
21,21:32:39,Angry,50
22,21:32:39,Angry,50
23,21:32:39,Angry,50
24,21:32:39,Angry,50
25,21:32:39,Angry,50
26,21:32:39,Angry,50
27,21:32:39,Angry,50
28,21:32:39,Angry,50
29,21:32:39,Angry,50
30,21:32:39,Angry,50
31,21:32:39,Angry,50
32,21:32:39,Angry,50
33,21:32:39,Angry,50
34,21:32:41,Angry,50
35,21:32:41,Angry,50
36,21:32:41,Neutral,20
37,21:32:41,Angry,50
38,21:32:41,Angry,50
39,21:32:41,Angry,50
40,21:32:41,Angry,50
41,21:32:41,Neutral,20
42,21:32:41,Neutral,20
43,21:32:41,Neutral,20
44,21:32:41,Neutral,20
45,21:32:41,Neutral,20
46,21:32:42,Happy,44
47,21:32:42,Happy,45
48,21:32:42,Neutral,20
49,21:32:42,Neutral,20
50,21:32:42,Neutral,20
51,21:32:42,Happy,43
52,21:32:42,Neutral,20
53,21:32:42,Neutral,20
54,21:32:42,Happy,42
55,21:32:42,Happy,45
56,21:32:42,Angry,50
57,21:32:42,Angry,50
58,21:32:42,Angry,50
59,21:32:42,Angry,50
60,21:32:42,Angry,50
61,21:32:42,Angry,50
62,21:32:42,Angry,50
63,21:32:43,Angry,50
64,21:32:43,Angry,50
65,21:32:43,Angry,50
66,21:32:43,Angry,50
67,21:32:43,Angry,50
68,21:32:43,Angry,50
69,21:32:43,Angry,50
70,21:32:43,Angry,50
71,21:32:43,Angry,50
72,21:32:43,Angry,50
73,21:32:43,Angry,50
74,21:32:43,Angry,50
75,21:32:43,Angry,50
76,21:32:43,Angry,50
77,21:32:43,Angry,50
78,21:32:43,Angry,50
79,21:32:44,Angry,50
80,21:32:44,Angry,50
81,21:32:44,Angry,50
82,21:32:44,Angry,50
83,21:32:44,Angry,50
84,21:32:44,Angry,50
85,21:32:44,Angry,50
86,21:32:44,Angry,50
87,21:32:44,Angry,50
88,21:32:44,Angry,50
89,21:32:44,Angry,50
90,21:32:44,Angry,50
91,21:32:44,Angry,50
92,21:32:44,Angry,50
93,21:32:44,Angry,50
94,21:32:44,Angry,50
95,21:32:45,Angry,50
96,21:32:45,Neutral,20
97,21:32:45,Happy,45
98,21:32:45,Neutral,20
99,21:32:45,Happy,42
100,21:32:45,Neutral,20
101,21:32:45,Happy,44
102,21:32:45,Neutral,20
103,21:32:45,Neutral,20
104,21:32:45,Neutral,20
105,21:32:45,Neutral,20
106,21:32:45,Happy,43
107,21:32:45,Happy,43
108,21:32:45,Neutral,20
109,21:32:45,Neutral,20
110,21:32:45,Neutral,20
111,21:32:46,Neutral,20
112,21:32:46,Neutral,20
113,21:32:46,Neutral,20
114,21:32:46,Happy,44
115,21:32:46,Neutral,20
116,21:32:46,Angry,50
117,21:32:46,Angry,50
118,21:32:46,Neutral,20
119,21:32:46,Happy,43
120,21:32:46,Neutral,20
121,21:32:46,Neutral,20
122,21:32:46,Angry,50
123,21:32:46,Neutral,20
124,21:32:46,Neutral,20
125,21:32:46,Neutral,20
126,21:32:46,Angry,50
127,21:32:46,Angry,50
128,21:32:46,Neutral,20
129,21:32:47,Neutral,20
130,21:32:47,Neutral,20
131,21:32:47,Happy,45
132,21:32:47,Neutral,20
133,21:32:47,Happy,44
134,21:32:47,Neutral,20
135,21:32:47,Neutral,20
136,21:32:47,Happy,45
137,21:32:47,Neutral,20
138,21:32:47,Angry,50
139,21:32:47,Angry,50
140,21:32:47,Neutral,20
141,21:32:47,Angry,50
142,21:32:47,Angry,50
143,21:32:47,Angry,50
144,21:32:47,Angry,50
145,21:32:47,Angry,50
146,21:32:48,Angry,50
147,21:32:48,Angry,50
148,21:32:48,Angry,50
149,21:32:48,Angry,50
150,21:32:48,Angry,50
151,21:32:48,Neutral,20
152,21:32:48,Angry,50
153,21:32:48,Happy,42
154,21:32:48,Neutral,20
155,21:32:48,Angry,50
156,21:32:48,Angry,50
157,21:32:48,Angry,50
158,21:32:48,Angry,50
159,21:32:48,Neutral,20
160,21:32:48,Happy,44
161,21:32:48,Angry,50
162,21:32:49,Angry,50
163,21:32:49,Angry,50
164,21:32:49,Angry,50
165,21:32:49,Angry,50
166,21:32:49,Angry,50
167,21:32:49,Angry,50
168,21:32:49,Angry,50
169,21:32:49,Angry,50
170,21:32:49,Angry,50
171,21:32:49,Angry,50
172,21:32:49,Angry,50
173,21:32:49,Angry,50
174,21:32:49,Angry,50
175,21:32:49,Angry,50
176,21:32:49,Angry,50
177,21:32:49,Angry,50
178,21:32:50,Angry,50
179,21:32:50,Angry,50
180,21:32:50,Angry,50
181,21:32:50,Angry,50
182,21:32:50,Angry,50
183,21:32:50,Angry,50
184,21:32:50,Angry,50
185,21:32:50,Neutral,20
186,21:32:50,Neutral,20
187,21:32:50,Neutral,20
188,21:32:50,Neutral,20
